Numero;Description;Speakers
12;"Los usuarios avanzados pueden desarrollar sus aplicaciones r pidamente, con menos c¢digo y menor coste, gracias a las bondades de Power Platform.  En escenarios m s complejos, tenemos la posibilidad de a¤adir m s funcionalidad y aprovechar toda la potencia que nos ofrece Azure.

En esta sesi¢n hablaremos de algunas posibilidades que nos brinda Azure para escalar y extender nuestras apps utilizando los conectores para Azure nativos o crear los nuestros personalizados y aprovechar toda la potencia que nos brinda Azure utilizando servicios como Azure API Management o Azure functions para escalar, extender e integrar Power Platform con otras aplicaciones l¡nea de negocio.";Carlos Javier Sosa Marquina
13;En esta sesi¢n, nos adentraremos en Azure Container Apps, una plataforma serverless que permite ejecutar aplicaciones en contenedores con menos infraestructura y a menor costo. Exploraremos c¢mo Azure Container Apps facilita la implementaci¢n de puntos de conexi¢n de API, el alojamiento de trabajos de procesamiento en segundo plano, y la ejecuci¢n de microservicios. Adem s, discutiremos c¢mo esta plataforma puede escalar din micamente las aplicaciones en funci¢n del tr fico HTTP, el procesamiento controlado por eventos, y la carga de CPU o de memoria2.;Santiago Porras Rodr¡guez, Sergio Parra Guerra
14;Learn how Security Copilot is helping security teams solve threats faster and more accurately using the power of AI.;Clairo Dorneles, Eduardo Kieling
15;"La Inteligencia Artificial generativa ha captado la atenci¢n mundial con la aparici¢n de LLM's, pero ¨sab¡as que sus aplicaciones van mucho m s all ? 

Durante esta sesi¢n, haremos una breve introducci¢n al uso de t‚cnicas como NERF o Gaussian splatting con las que podemos renderizar escenas 3D a partir de fotograf¡as o v¡deos.  Como ejemplo, usaremos un conjunto de fotograf¡as del  mbito industrial. Demostraremos que con tan solo un conjunto de im genes, podemos renderizar una escena 3D de alta calidad.

Debido a la necesidad de GPU para realizar el entrenamiento de nuestros modelos de renderizado, nos apoyaremos en Azure Machine Learning, donde mostraremos como se ha definido un pipeline basado en componentes que permite lanzar m£ltiples entrenamientos en paralelo y escalar seg£n las necesidades que tengamos gracias al cl£ster de computaci¢n sobre el que se ejecuta.

Por £ltimo, veremos como podemos interactuar con esta escena 3D,  aplicando modelos como SAM (Segment Anything) para segmentar y clusterizar y posteriormente exportar los distintos objetos que aparecen en la escena.

";Rodrigo Cabello
16;"Azure API Management (APIM) es seguramente uno de esos productos m s sencillos de implementar en tu organizaci¢n, que m s valor te aporta para la gesti¢n de los backends y seguridad y que seguramente mucha gente a£n no est  implementando.

¨En qu‚ consiste?¨En qu‚ me ayuda?¨C¢mo empiezo? Te lo ense¤o en 45 minutos.";Diego Zapico
17;La responsabilidad no es s¢lo un concepto sino un pilar de todo proyecto en IA. Con advenimiento de tecnolog¡as disruptivas y creativas es imprescindible contar con estas perspectiva. En esta sesi¢n podremos ver como los servicios de Azure disponen de una base s¢lida de principios responsables, servicios  y para cumplir con esa misi¢n. No todo va a ser efecto Wow ??. Bueno si,pero con responsabilidad as¡ que  mostraremos como aplicar con un intento de efecto wow??;Javier Armesto
18;En esta sesi¢n mostrar‚ c¢mo crear im genes cerebrales artificialmente sustituyendo a las obtenidas mediante resonancias magn‚ticas, y c¢mo se ha desarrollado este proyecto desde un inicio. Demo inclu¡da. ;Javier Menendez Pallo
19;El enfoque de nube adaptable unifica equipos aislados, sitios distribuidos y sistemas en expansi¢n en un £nico modelo de operaciones, seguridad, aplicaci¢n y datos, lo que permite a las organizaciones aprovechar las tecnolog¡as nativas de la nube y de IA para trabajar simult neamente en entornos h¡bridos, multinube, perimetrales e IoT. Para ello Microsoft Azure cuenta con  herramientas como Azure ARC, Defender for Cloud, Azure Monitos o Azure Policy con la que conseguir una nube adaptable.;Juan Jose Diaz Antu¤a
20;GPT-4 Turbo for Visi¢n, ahora en versi¢n preliminar p£blica en Azure OpenAI, representa un avance significativo en los modelos multimodales de gran escala (LMM). Este desarrollo de OpenAI integra procesamiento del lenguaje natural con capacidades de an lisis visual, permitiendo que el modelo responda preguntas textuales basadas en contenido de im genes. A trav‚s de la colaboraci¢n con Azure AI Vision, se enriquece la interpretaci¢n de im genes, facilitando una comprensi¢n m s profunda y aplicaciones m s amplias en campos que requieren an lisis visual detallado y contextual.;Pablo Angel Piovano
21;"D¡a de tormenta, son las 9 de la noche y el Real Madrid est  jugando. Quieres irte a casa porque ya est s tarde. Sin embargo, tu compa¤ero ha cometido un error con Terraform; borr¢ un archivo y elimin¢ por completo un storage account de producci¢n. ¨Qu‚ podemos hacer?

En esta sesi¢n, proporcionaremos consejos para garantizar que tus recursos de Azure est‚n respaldados correctamente y para ayudarte a protegerte de esos compa¤eros ""manazas"".";Sergio Navarro Pino, Alejandro Garcia Miravet
22;Join this session to get a short comparative look at Ansible, Bicep, and Terraform, shedding light on why we took unconventional approach to use Ansible when doing Azure automation in our project. After some time spent with this tool I am ready to share several use-cases it best serves, but also its limitations (spoiler: azcollection did not work for us and we had to develop Python modules). Finally, I will give a live demo featuring Ansible for IaC automation, sharing examples of YAML-files describing environment being deployed. Join me and let's explore together the untapped potential of Ansible!;Yury Vaskow
23;"¨Conoces CosmosDb, el servicio de base de datos super flexible e hiper escalable en Azure?  

En esta sesi¢n haremos un peque¤o recorrido por las funcionalidades m s relevantes de este servicio, y tambi‚n me gustar¡a compartir algunas cosillas que he aprendido despu‚s de un par de a¤os us ndolo de forma ""Intensiva"" 

¨Te apuntas? ";Roberto Sanz
24;Que poco nos gusta documentar. Ahora que ya tenemos controlado como trabajar con Azure DevOps en nuestros desarrollos de Power BI veremos como OpenIA nos va a ayudar a documentarlos! ;Mar Lizana, Adria Belmonte
25;"En esta sesi¢n veremos como podemos desarrollar soluciones chat profesionales, personalizadas con tus datos y altamente escalables, no solamente a nivel de infraestructura sino tambi‚n de dise¤o de soluci¢n, arquitectura en Azure y t‚cnicas DevOps que aseguren la calidad despu‚s de llevarlo a en producci¢n. 

Aprender s como dise¤ar flujos RAG y otros mas complejos con Visual Studio Code y PromptFlow, tooling con python, indexaci¢n en Azure Search, crear embeddings y hacer evaluaciones masivas con Rating especifico de LLMs (coherence, fluency, groundedness y relevance). ";Alejandro Almeida, David Oliva
